iter	Passed	Remaining
0	8	8445
1	16	8300
2	24	8044
3	32	8118
4	39	7954
5	47	7919
6	55	7832
7	64	7961
8	72	7946
9	80	7959
10	87	7897
11	95	7848
12	103	7848
13	109	7741
14	118	7774
15	125	7714
16	134	7784
17	141	7704
18	149	7737
19	156	7680
20	166	7777
21	173	7725
22	184	7840
23	192	7808
24	199	7762
25	205	7707
26	212	7672
27	220	7645
28	228	7645
29	235	7623
30	244	7653
31	252	7637
32	262	7685
33	267	7606
34	275	7590
35	282	7564
36	289	7525
37	297	7534
38	304	7494
39	312	7493
40	318	7452
41	325	7419
42	331	7377
43	337	7339
44	344	7309
45	351	7284
46	359	7288
47	366	7274
48	373	7248
49	379	7214
50	387	7201
51	395	7202
52	400	7148
53	408	7158
54	414	7127
55	421	7097
56	427	7079
57	434	7052
58	441	7043
59	447	7017
60	455	7005
61	461	6980
62	468	6963
63	476	6974
64	483	6958
65	491	6961
66	498	6944
67	506	6941
68	513	6930
69	524	6970
70	533	6974
71	544	7013
72	556	7067
73	565	7078
74	576	7112
75	586	7124
76	596	7148
77	608	7189
78	615	7180
79	624	7186
80	631	7162
81	637	7137
82	644	7119
83	652	7113
84	659	7095
85	666	7085
86	674	7082
87	684	7093
88	693	7096
89	702	7099
90	709	7083
91	716	7066
92	725	7079
93	735	7091
94	742	7077
95	752	7082
96	760	7082
97	771	7098
98	778	7086
99	789	7105
100	799	7112
101	809	7124
102	819	7135
103	828	7141
104	840	7167
105	851	7180
106	861	7187
107	871	7195
108	880	7194
109	889	7193
110	901	7220
111	910	7218
112	920	7222
113	928	7219
114	938	7218
115	959	7309
116	971	7329
117	982	7341
118	991	7339
119	1001	7341
120	1010	7340
121	1021	7349
122	1035	7382
123	1046	7392
124	1055	7388
125	1063	7373
126	1071	7363
127	1080	7359
128	1088	7346
129	1100	7366
130	1134	7524
131	1167	7679
132	1197	7804
133	1221	7891
134	1236	7920
135	1251	7953
136	1270	8003
137	1287	8041
138	1306	8092
139	1319	8107
140	1331	8109
141	1336	8075
142	1349	8085
143	1356	8061
144	1365	8053
145	1374	8037
146	1384	8031
147	1394	8028
148	1402	8007
149	1412	8004
150	1423	8004
151	1432	7990
152	1442	7987
153	1449	7965
154	1462	7971
155	1470	7956
156	1480	7951
157	1490	7944
158	1498	7924
159	1509	7926
160	1516	7903
